individual	chr12:5981991:5983150:cluster591	chr12:5981991:5985045:cluster591	chr12:5983254:5985045:cluster591
GTEX-U8T8	99	0	117
GTEX-WEY5	344	0	391
GTEX-14BMU	169	0	194
GTEX-1399T	89	0	101
GTEX-1QP9N	78	0	94
GTEX-1B97J	181	0	211
GTEX-131XF	88	0	109
GTEX-14LZ3	91	0	112
GTEX-13QBU	236	0	278
GTEX-XGQ4	135	0	160
GTEX-13U4I	183	0	207
GTEX-1B97I	198	0	235
GTEX-1FIGZ	141	0	161
GTEX-1E1VI	96	0	111
GTEX-1C6VR	126	0	155
GTEX-11OF3	235	0	282
GTEX-ZV68	59	0	72
GTEX-11UD2	110	0	123
GTEX-1KWVE	117	0	140
GTEX-PWCY	160	0	179
GTEX-18A67	163	0	199
GTEX-1A3MW	379	0	432
GTEX-X261	116	0	134
GTEX-Y3I4	106	0	124
GTEX-1269C	68	0	77
GTEX-11ZU8	128	0	147
GTEX-1LVA9	65	0	72
GTEX-15D79	140	0	162
GTEX-1RAZA	202	0	242
GTEX-U3ZN	494	0	589
GTEX-145MO	153	0	177
GTEX-16BQI	157	0	189
GTEX-16MT8	334	0	386
GTEX-111VG	89	0	100
GTEX-Q2AG	55	0	68
GTEX-1AX9J	80	0	95
GTEX-1R9K4	318	0	372
GTEX-ZC5H	78	0	90
GTEX-1EWIQ	135	0	154
GTEX-1A8FM	191	0	224
GTEX-1IDJF	238	0	280
GTEX-1GN73	124	0	147
GTEX-183WM	478	0	579
GTEX-11LCK	167	0	189
GTEX-14E6D	123	0	137
GTEX-XBEC	103	0	115
GTEX-1QAET	159	0	190
GTEX-13O21	125	0	142
GTEX-1QCLZ	87	0	100
GTEX-1RB15	96	0	108
GTEX-ZTPG	297	0	360
GTEX-QVUS	83	0	99
GTEX-18A7A	117	0	138
GTEX-WOFL	998	0	1197
GTEX-1QP2A	150	0	182
GTEX-R55G	58	0	68
GTEX-145MH	147	0	172
GTEX-1E2YA	218	0	252
GTEX-13X6H	139	0	170
GTEX-12WSG	175	0	203
GTEX-12WSJ	136	0	161
GTEX-133LE	193	0	222
GTEX-15ER7	340	0	406
GTEX-ZPCL	51	0	62
GTEX-WOFM	177	0	207
GTEX-1C4CL	167	0	191
GTEX-SNMC	97	0	108
GTEX-13PLJ	314	0	369
GTEX-14PJ2	144	0	174
GTEX-147JS	75	0	86
GTEX-13RTJ	191	0	222
GTEX-OXRL	140	0	161
GTEX-11NSD	81	0	96
GTEX-14PJM	124	0	152
GTEX-139YR	153	0	188
GTEX-1MA7W	148	0	179
GTEX-U8XE	19	0	23
GTEX-1BAJH	155	0	191
GTEX-11ONC	112	0	126
GTEX-11ZTT	146	0	170
GTEX-12WSL	132	0	159
GTEX-1GPI6	75	0	88
GTEX-Z93S	232	0	274
GTEX-1GN1U	171	0	210
GTEX-13111	142	0	168
GTEX-14H4A	94	0	110
GTEX-144FL	474	0	565
GTEX-1B8L1	137	0	160
GTEX-13QJ3	236	0	273
GTEX-ZYFD	85	0	102
GTEX-14JG1	78	0	95
GTEX-ZA64	139	0	170
GTEX-11XUK	123	0	147
GTEX-13OVK	141	0	173
GTEX-12ZZX	114	0	141
GTEX-12WSA	130	0	149
GTEX-1GN2E	115	0	128
GTEX-1JMQK	153	0	182
GTEX-ZZPU	134	0	154
GTEX-13D11	119	0	142
GTEX-15DZA	216	0	259
GTEX-17EVP	34	0	40
GTEX-12WSF	149	0	174
GTEX-1CB4I	107	0	132
GTEX-1R9JW	160	0	193
GTEX-15DCD	180	0	213
GTEX-16NPV	150	0	172
GTEX-11O72	105	0	119
GTEX-13X6K	287	0	335
GTEX-14DAQ	267	0	319
GTEX-WFG7	64	0	71
GTEX-PX3G	72	0	90
GTEX-13FHO	259	0	317
GTEX-U3ZH	275	0	317
GTEX-17F98	108	0	134
GTEX-111CU	106	0	124
GTEX-XAJ8	69	0	77
GTEX-17F97	149	0	174
GTEX-13NZB	107	0	124
GTEX-Z9EW	122	0	142
GTEX-1QP28	90	0	109
