individual	chr16:28983290:28983786:cluster7347	chr16:28983290:28984609:cluster7347	chr16:28983957:28984205:cluster7347	chr16:28983957:28984609:cluster7347
GTEX-1LNCM	42	0	28	0
GTEX-1LSNL	54	0	34	0
GTEX-ZDYS	67	0	36	1
GTEX-1NUQO	129	0	74	1
GTEX-OHPN	169	1	99	1
GTEX-1GF9W	64	1	37	0
GTEX-17EUY	124	0	71	1
GTEX-1LGOU	73	1	39	0
GTEX-1I4MK	63	0	41	0
GTEX-X8HC	87	1	50	0
GTEX-169BO	131	1	78	0
GTEX-11EM3	56	0	35	1
GTEX-1MCYP	86	0	48	1
GTEX-1PPH7	71	1	39	1
GTEX-WK11	97	0	58	0
GTEX-1GPI7	65	0	36	0
GTEX-1GN1W	67	0	36	0
GTEX-OHPL	59	0	33	0
GTEX-TMMY	92	1	56	0
GTEX-1N2DW	72	1	35	0
GTEX-18D9A	89	0	51	0
GTEX-T5JC	102	0	69	1
GTEX-ZF2S	67	0	37	0
GTEX-14BMU	90	1	49	0
GTEX-1QP9N	58	0	38	0
GTEX-11ZUS	54	1	32	0
GTEX-14LZ3	58	0	31	0
GTEX-13O3Q	73	1	49	1
GTEX-13QBU	85	0	48	1
GTEX-RNOR	38	0	25	0
GTEX-ZDTS	28	0	17	0
GTEX-1B97I	97	0	53	0
GTEX-17GQL	132	0	73	0
GTEX-1FIGZ	91	0	50	0
GTEX-15RIG	108	0	66	1
GTEX-13FTW	77	0	41	0
GTEX-1E1VI	50	0	28	0
GTEX-1C6VR	69	1	44	0
GTEX-11OF3	96	0	51	1
GTEX-1R46S	59	1	40	0
GTEX-11UD2	42	0	20	0
GTEX-PWCY	82	0	51	1
GTEX-SJXC	59	0	34	0
GTEX-1A3MW	69	0	39	1
GTEX-X261	67	0	39	0
GTEX-OIZH	76	0	41	0
GTEX-YEC3	63	0	38	0
GTEX-Y3I4	81	0	52	0
GTEX-O5YT	53	0	31	0
GTEX-1AMFI	96	0	48	1
GTEX-1192X	54	0	27	0
GTEX-1MUQO	91	0	60	1
GTEX-T2IS	75	1	47	0
GTEX-16BQI	87	0	55	1
GTEX-13N1W	70	0	36	0
GTEX-16MT8	111	0	67	1
GTEX-1F7RK	72	0	37	0
GTEX-Y9LG	108	1	68	2
GTEX-XPVG	91	1	55	0
GTEX-V955	75	0	41	1
GTEX-1JN6P	88	0	48	1
GTEX-ZT9X	107	0	62	0
GTEX-1GN73	84	0	52	1
GTEX-OXRP	24	0	15	0
GTEX-1S82Y	91	1	55	1
GTEX-18A66	66	0	43	0
GTEX-13O21	76	0	39	1
GTEX-1RB15	68	0	40	0
GTEX-ZTPG	47	0	30	0
GTEX-1399U	61	1	35	0
GTEX-WHSB	134	0	81	0
GTEX-WOFL	100	1	62	0
GTEX-ZAK1	41	0	26	0
GTEX-13OW8	64	1	38	0
GTEX-1E2YA	55	0	34	0
GTEX-16XZY	58	0	38	0
GTEX-OIZG	86	0	54	0
GTEX-1F52S	68	0	39	1
GTEX-11GSP	58	1	32	0
GTEX-12WSG	96	0	53	0
GTEX-N7MS	71	0	43	0
GTEX-1IDJE	128	1	75	2
GTEX-144GM	49	0	28	0
GTEX-133LE	55	1	32	0
GTEX-1R9PO	78	1	44	0
GTEX-16XZZ	148	1	104	1
GTEX-ZAB4	90	1	59	0
GTEX-14PII	88	0	48	1
GTEX-17HHE	61	0	34	0
GTEX-ZPCL	43	1	24	0
GTEX-RWSA	35	0	25	0
GTEX-1C4CL	94	0	56	1
GTEX-14PN4	51	1	30	0
GTEX-T6MN	24	0	14	0
GTEX-15SHV	116	0	69	0
GTEX-14PJ2	91	0	56	0
GTEX-RN64	57	0	29	0
GTEX-QVJO	30	0	14	0
GTEX-147JS	33	0	23	0
GTEX-15SB6	68	0	35	0
GTEX-1MCQQ	73	1	51	0
GTEX-OXRL	76	1	42	0
GTEX-11NSD	80	0	43	0
GTEX-14PJM	55	0	35	0
GTEX-1MA7W	274	0	153	1
GTEX-15SKB	110	0	68	0
GTEX-U8XE	64	0	34	0
GTEX-ZVZP	91	0	57	0
GTEX-WY7C	120	0	74	1
GTEX-14LLW	80	1	55	0
GTEX-11ZTT	73	0	48	0
GTEX-12WSL	56	0	32	0
GTEX-Z93S	45	1	27	0
GTEX-13111	67	0	39	1
GTEX-14H4A	78	1	40	1
GTEX-1O9I2	88	0	54	0
